cb_num,count_2015,count_2005,count_1995,area_km2,counts_per_km2_2015,counts_per_km2_2005,counts_per_km2_1995,parkarea [km^2],park_percent
101,2297.0,1562.0,1040.0,42.527842572,54.01167473076396,36.728879377210845,24.454567575095567,0.24011234438000004,0.005646003414668586
102,4833.0,4061.0,3751.0,37.721690610799996,128.1225714368241,107.65689273845287,99.4388093233038,0.11528829663333336,0.0030562865758812377
103,4709.0,2938.0,2568.0,46.9068220336,100.39051455301914,62.63481243507544,54.74683401404824,0.44922169430000003,0.009576894678096427
104,4419.0,3540.0,2987.0,49.291490451899996,89.65036276012353,71.81767009975951,60.598695081350755,0.2500709923633333,0.005073309613296427
105,2031.0,1764.0,2012.0,43.7967634502,46.37328971373398,40.27694882079111,45.93946770262569,0.05657240489333333,0.0012917028665293986
106,4864.0,4732.0,4377.0,38.7048740598,125.6689271869222,122.25850399846132,113.08653254464608,0.16221202374857144,0.00419099732757042
107,8571.0,7569.0,5984.0,53.1540542699,161.24828327260022,142.39741641469035,112.5784304168988,4.745277215950001,0.08927404091990683
108,8888.0,8422.0,7942.0,55.1712399038,161.0984276499435,152.65199793742397,143.95181282581584,0.2812547842751727,0.0050978514306654335
109,4755.0,3157.0,2460.0,41.892911658100005,113.5036886146017,75.3588107163612,58.721151207554186,0.354012230795,0.008450408834892995
110,5724.0,3739.0,2257.0,39.078638764,146.47388396939405,95.67887004919014,57.75533824579357,0.3630500254207143,0.009290242365226985
111,4591.0,2859.0,1688.0,66.1484528677,69.40449550924818,43.22096551098684,25.518359490222377,2.0311016903142853,0.030705203255117452
112,6745.0,3438.0,2839.0,77.9733234272,86.50394395844224,44.09200286569673,36.40988834662973,2.528229824232857,0.032424292220830445
201,4516.0,1623.0,1047.0,60.4000949449,74.76809438991316,26.870818687960377,17.334409837519726,0.7142537353757143,0.011825374381071627
202,4702.0,2069.0,362.0,61.860010384400006,76.010333182643,33.44648646424678,5.851922716315773,0.45887952569000007,0.007418031824413035
204,6060.0,2606.0,1847.0,55.5403057839,109.1099502328752,46.92087958859287,33.25512839605949,0.3527243176,0.006350780980076051
205,4520.0,2289.0,1363.0,38.3099048072,117.98515351963253,59.749561151867006,35.578266426384765,1.0656451425516669,0.027816439323320598
206,4894.0,2584.0,1061.0,42.9216739846,114.02164793842695,60.2026845674081,24.719445946602164,1.6755656240216665,0.03903775105842442
207,5093.0,3561.0,2775.0,53.2943712305,95.56356295062754,66.81756286416349,52.06928866836667,0.24733194262000002,0.004640864258446372
208,5789.0,6607.0,4942.0,92.0453062538,62.89294083109215,71.77986872880045,53.69095069740152,2.06693172157,0.022455590683470278
209,9597.0,5466.0,4493.0,114.235458326,84.01069283245238,47.84854090050898,39.33104542004882,2.591879946381667,0.02268892675149144
210,10786.0,8647.0,6611.0,179.676058315,60.03025723711318,48.12549919611698,36.79399504863297,10.64907717941238,0.059268203450583805
211,9492.0,8684.0,6642.0,100.32861689900001,94.60909851429048,86.55556379036014,66.20244756973423,1.9296906547438095,0.019233701354484066
212,10523.0,8989.0,7177.0,154.909281787,67.9300806162739,58.02751065852762,46.330341973106314,3.464706711181667,0.02236603689084062
301,11542.0,8680.0,4145.0,131.783022929,87.58336046228366,65.86584377167061,31.4532168702275,0.6375706524199999,0.0048380332932831584
302,8474.0,7469.0,5751.0,79.3157857989,106.83875743833988,94.16788757457643,72.50763441443152,0.53076187644,0.006691755885590191
303,9165.0,5794.0,4310.0,79.460858449,115.33980602389704,72.91640328450185,54.24054162171263,0.13572844691199998,0.0017081170473273197
304,6817.0,3778.0,2147.0,56.668778775,120.29551628536926,66.66810334841206,37.88682315750151,0.09439705636000001,0.0016657683190032713
305,15913.0,6592.0,5098.0,155.398418357,102.40129962869207,42.41999416529493,32.80599670125509,1.943519690725,0.012506689007993068
306,9915.0,9154.0,6403.0,85.5055653017,115.95736447113896,107.057358988281,74.88401459492715,2.5921662617266676,0.030315760764581843
307,7788.0,5131.0,3653.0,104.13625515000001,74.78663399967671,49.27198498360827,35.079041345765155,0.26202204442,0.0025161462167290157
308,5529.0,3904.0,2942.0,45.6054228539,121.23558239362276,85.60385488600167,64.50987220148998,0.5349573910973334,0.011730126761703425
309,5130.0,5058.0,2871.0,45.3265915594,113.17859612887925,111.59012460426341,63.34030204405698,0.08029455863200001,0.0017714669440073577
310,10119.0,10167.0,8358.0,111.031962204,91.13591977603956,91.56822772635579,75.27562184881299,1.3114143227350001,0.011811142455768971
311,9002.0,7568.0,6051.0,103.175931712,87.24903037587993,73.350440111604,58.64739866745717,1.8970344216200001,0.018386404562987468
312,11977.0,10568.0,7816.0,99.8535238287,119.94569185707152,105.83502308971629,78.27465371586132,0.20140412848,0.002016995702880865
313,3725.0,3410.0,2356.0,88.1489036092,42.258041194867744,38.68454240926148,26.727502028217025,3.9140248556450006,0.044402422439619525
314,10120.0,10263.0,9735.0,82.17925467110001,123.14543421575837,124.88553274272017,118.46055356624582,0.03367796892,0.0004098110776836181
315,12981.0,12126.0,10510.0,131.647251531,98.60441330173356,92.10978473898938,79.83455695256296,1.661364517805,0.012619819240311187
316,5042.0,2893.0,2350.0,51.7666198219,97.39867152513924,55.88543370135419,45.396048806838,0.335218410612,0.006475570778337453
317,8063.0,6850.0,6099.0,93.7921658683,85.96666816844608,73.03381830011851,65.0267529653172,0.22921819726000003,0.0024438949152945353
318,18442.0,18443.0,14326.0,235.805222496,78.20861558871044,78.212856376889,60.753531445822894,3.082820045945,0.013073586807422361
401,12395.0,9910.0,9690.0,171.53127523199998,72.26087477770731,57.77372077830412,56.49115583670705,0.9385801361247246,0.0054717726248771454
402,8300.0,7986.0,5485.0,139.899699446,59.328218951633445,57.083753800933096,39.20666035538668,0.0936645747,0.0006695123368449671
403,10315.0,9586.0,8913.0,82.9937411589,124.28648059437252,115.50268569827,107.39364047868563,0.39459920145000005,0.004754565777369881
404,6372.0,6695.0,5172.0,65.6350864628,97.08222146719436,102.00336985606815,78.7993172360843,1.1732373231800004,0.017875154683386546
405,18432.0,18248.0,17120.0,210.379734725,87.6130014333062,86.73839247802579,81.37665931739377,1.1424737679366668,0.005430531459838862
406,9749.0,10233.0,7965.0,82.6855798421,117.90447643491304,123.75797593173301,96.32876754580802,0.80478083733,0.009733025261077503
407,29169.0,29046.0,23554.0,328.430845557,88.81321713413074,88.43870907051875,71.71677179119324,3.9622836611450003,0.01206428602777913
408,19556.0,18826.0,14696.0,207.578644918,94.21007641573739,90.69333701179546,70.79726339771307,1.2810497204400002,0.006171394562027584
409,10879.0,10456.0,12074.0,107.15048352500001,101.53010646435156,97.58238746127952,112.68264596475603,1.14757011363,0.010709892068403523
410,14353.0,15193.0,13940.0,171.37796482,83.75055693463918,88.65200386734293,81.34067885939318,0.8205843652113335,0.004788155618916361
411,26908.0,27307.0,20009.0,261.00737268200004,103.0928732912979,104.62156574124691,76.66066975195406,5.335520481422834,0.020442029765662593
412,24980.0,20019.0,20069.0,267.332749586,93.44160054720129,74.88420341691042,75.07123624426671,1.8784050648696433,0.007026468204058805
413,35180.0,33819.0,30530.0,350.415413765,100.39512709219137,96.51116552390052,87.12516288017632,3.7954573209060003,0.01083130813261359
414,11386.0,8088.0,5551.0,195.799256896,58.15139536534475,41.307613359819804,28.350465103902046,7.027816870123334,0.035892970083416624
501,24689.0,21000.0,15271.0,376.989858408,65.4898253875046,55.704416263825856,40.50772098880403,6.307377991006668,0.01673089567353948
502,24911.0,23231.0,18593.0,593.178257875,41.99580761648462,39.163606709427725,31.344709205302816,13.92966240769,0.023483096729795157
503,51843.0,49895.0,37864.0,598.980258061,86.55210134608531,83.29990734839663,63.2141034540473,10.714684391963333,0.01788820958248035
